field,files_present,rows,finite_rows,missing_rows,missing_rate,zero_rows,zero_rate_among_finite,positive_rows,negative_rows,late_missing_rows,late_missing_rate,min,max,constant_batch_rate,mean_batch_sample_mode_rate,max_batch_sample_mode_rate,max_batch_sample_mode_value,assessment
price_momentum_w40,1227,367753950,306712446,61041504,0.1659846318441991,111784434,0.3644600519406376,96593077,98334935,2353,9.577579103049338e-06,-0.4869565217391304,0.31506849315068486,0.0003211819495744339,0.36447786639937263,1.0,-0.0017513134851138146,ok
price_relative,1397,401237285,369600731,31636554,0.07884749294921582,136516602,0.3693623701193383,115342924,117741205,2169,8.091880033420322e-06,-0.10640761243170871,0.10056925996204935,0.00044001173364623054,0.36927333954566,1.0,-0.0008755034144631857,ok
price_relative_w10,1227,367753950,354016561,13737389,0.03735483738515929,181282698,0.5120740608516334,85771656,86962207,2117,8.61697193419271e-06,-0.10548767261947789,0.10056925996204935,0.0006423638991488678,0.5089622179016633,1.0,0.0,ok
price_relative_w40,1227,367753950,308238384,59515566,0.16183528688135096,89916186,0.29170989295090516,107877898,110444300,2342,9.532805040094155e-06,-0.10540775014459225,0.10056925996204935,0.0003211819495744339,0.2915830129454188,1.0,-8.754267705524121e-05,ok
price_velocity,1397,401237285,319654532,81582753,0.20332794595596967,102577644,0.3209015788332386,107278066,109798822,2451,9.143936358650627e-06,-0.8973568256487738,0.8515162248580198,0.00044001173364623054,0.3182403598198619,1.0,-0.04767201585192984,likely_session_warmup
price_velocity_w10,1227,367753950,354016561,13737389,0.03735483738515929,202235574,0.5712602072308137,75447919,76333068,2117,8.61697193419271e-06,-99644.81836576543,190904.35733954387,0.0006423638991488678,0.5673573586735171,1.0,0.0,ok
price_velocity_w20,1227,367753950,338757161,28996789,0.07884834139782863,158362081,0.4674796557289604,89489114,90905966,2169,8.828631140889933e-06,-2.173189424257505,2.3365423436869914,0.0003211819495744339,0.46718844848746294,1.0,-0.10314010338889401,ok
price_volume_decoupling,1397,401237285,319654532,81582753,0.20332794595596967,76517010,0.2393740815162289,243137522,0,2451,9.143936358650627e-06,0.0,1.0000000000040592,0.00044001173364623054,0.23908361306234488,1.0,0.181613121634803,likely_session_warmup
price_volume_decoupling_w30,1227,367753950,323497767,44256183,0.12034182909524153,105983800,0.3276183356158993,217513967,0,2251,9.162401428374016e-06,0.0,1.0000000000080747,0.0003211819495744339,0.32706195331031657,1.0,0.19539261531570432,ok
price_volume_decoupling_w80,1227,367753950,247200904,120553046,0.32780897662689956,49886662,0.20180614711667882,197314242,0,2952,1.2015730349426964e-05,0.0,1.000000000002158,0.0003211819495744339,0.20201388492600042,1.0,0.19535190317807874,likely_session_warmup
